rpp_user_id,num_ofertas_historicas,num_ofertas_aceptadas,num_ofertas_no_aceptadas
c0ccf5ec-9521-4d18-a99e-1a6c7e451711,5,3,2
2f8b36e8-c416-4511-975e-da288a83419e,4,2,2
e0d5ae03-e5e7-4518-961e-dd7bc1380c90,9,1,8
f16c4ac4-9c77-4157-865a-b8674a2ce787,5,0,5
edf1d598-929a-416e-876f-4bdd283435d6,5,2,3
eef5f7bb-cec4-4164-a8b9-96598d35e23a,2,2,0
a959b6bd-5358-4f90-937f-4a3f425a792b,5,2,3
a6997617-1f24-4792-9818-7fb49115d6fe,7,0,7
ce7787b7-3af5-4ee0-b6b9-93ff729dcd33,7,0,7
dcb4f585-e38c-4942-9bcb-869ca08a3a30,9,0,9
450e7d50-f7a1-4bb7-9923-8e5da8fba38d,7,3,4
200ea325-f1b5-4462-9d60-a861a0083424,2,0,2
0b920393-f1ae-4d6b-81a6-6501f099974b,2,3,-1
fe7f2336-d0d1-41e1-af61-468b0e488d04,6,2,4
ab631dca-f707-431d-889c-7ce941feaeca,5,0,5
bd10c963-0bc9-4245-9c3c-bb63a09d7b89,7,4,3
e3775897-c94a-4e4c-ae48-4e0902361f2f,6,0,6
9fdb1fdf-bc11-4654-b816-b7e530dcb5f6,7,0,7
9e38378a-5399-44dc-8e79-7bc39c7c6a4a,3,2,1
5d6b924a-adec-4c86-935b-d81247fcef62,5,2,3
89d671a4-7e42-4bd9-bc98-2ed142a2e3ac,4,1,3
408b3805-8be6-4b58-8b5a-2b3c10aaca22,8,2,6
f965c668-06bd-4414-94fe-a4aad02b327d,8,4,4
45bdb047-d103-4f29-8909-3fc69c96aa61,2,1,1
b0f4050e-767c-481f-8d1d-4fea80336472,9,4,5
05bee185-1712-4581-a4a1-a17738dc4576,5,2,3
e6652a04-7a02-454f-9150-5fa0820d2de1,7,3,4
bc285c5e-829d-4bd7-bd87-85ca5b8a42b4,3,1,2
45b49eac-afe5-4523-9e6b-4209ef6a8b83,9,4,5
1b36ca18-279e-46f5-a14a-9d476b65eff8,5,4,1
f2724798-4106-4dd3-a93b-64bc47e3e44d,8,4,4
354eba33-9cee-48c5-8994-ad8bbf269981,8,2,6
0404fc17-a900-43ea-b323-5c8ddd567a0b,8,2,6
6c82c693-294f-4cff-aa84-a551465ef317,2,0,2
ce1c535f-100e-4070-92dc-a6d26a06f91c,8,3,5
85333ee4-e6bb-47a4-9c71-944bffed09c6,6,3,3
44d27952-249b-495d-bd6b-1e84cb6352f2,5,3,2
2b9e7252-444e-4fec-8b92-11e4746581eb,4,3,1
48a51b67-243b-4f9c-8b26-a0f7b39733cf,9,3,6
77d7593a-78ff-4cb8-b367-d1c68533a80b,8,1,7
abe28d13-e4e2-4f26-b7c9-fbbac2e0eb11,4,2,2
c4ca3340-be64-414f-944f-417acd234b59,2,3,-1
2e5e05a2-f540-4f1c-a249-92a7bdcac8c6,5,2,3
442535c9-675f-4d0c-b94c-0503efd8dffd,3,4,-1
99749ae4-def9-4952-b9ba-b5c53cc03d22,1,0,1
4380cdfe-d884-49f8-9c9f-4c4c1914e3f3,4,1,3
59dbaf10-5f16-4e8d-8f92-6b143ff78098,2,4,-2
34812afa-c939-4370-b538-2a93723fcbb4,1,0,1
d37bdfed-30d0-4ea2-bc6b-ff38541c0d37,7,4,3
36cf6bce-f94c-477e-b530-f7efa0b09fcb,8,3,5
aebe529d-14b9-435c-a2bb-299ce72a050f,9,2,7
93692775-9d11-42c2-84e8-1a2f303b5b37,7,0,7
3e9d8800-0aa8-46dd-abed-abe86e07032b,1,2,-1
69ff2caa-0104-49c1-89f5-1df3b5f75dfb,9,0,9
38c645bc-f846-445f-abd8-9451a3fe1f5b,8,3,5
c0d8819d-2934-469e-9164-ed4232c0230e,9,4,5
3edf9858-4bb3-4065-b13b-02cba3582f5c,2,2,0
cfba9e66-fc06-4338-bcdd-643657250768,5,3,2
2a6e6a90-1ec2-4512-a74c-9dc2409472ab,1,4,-3
3b887aef-2a23-4807-b993-8c9deb1c9341,5,0,5
4bd2734f-b0b5-497d-a6e5-7cc18831b1ab,1,1,0
ea0e6d98-5c33-468e-a4db-66961850b438,6,2,4
fcd07a7a-953c-4358-8ba5-65fbd987c0d9,9,3,6
f62ec1d6-47b3-4be7-a358-67409d6db383,5,1,4
212cf8a3-37d3-49f2-9461-d3f9f2806351,2,4,-2
8fa05eb4-59f5-4fd3-a6b7-fea9b74ac306,4,3,1
54b48d8b-f1a9-4340-979d-1c1454547550,6,0,6
37e5a8bc-881a-4eb4-8c35-578979f7e569,1,2,-1
b15cd17b-489f-4d23-8ca2-7a02355f9866,2,2,0
148ab899-4a8b-437f-8cf6-2357816a2e00,9,4,5
ae19929c-de6d-4ed1-acfa-6c233e019442,1,4,-3
cf079ef8-6de1-4a8b-9ec7-8d06585e1ea9,9,3,6
f0b9fb61-fbbd-4aa3-bb01-2cf631ed452b,2,2,0
f4d5cc6f-d528-4324-9325-8fc32eabb0a3,3,3,0
c8821514-2c49-4c8c-86ca-395807888f52,3,4,-1
b6b45172-0e28-4509-b6e7-8af4c5709199,6,3,3
51c13ae6-11ce-4d48-9318-2ac31d2211ee,3,3,0
acd3e42f-bfdf-4c93-b23b-644149073c73,3,0,3
59140007-9366-476d-8c43-714092a80425,6,1,5
b43438cf-73c0-45cf-9635-5f2af01423bf,2,2,0
d65712b4-19eb-4238-a874-2b5371a7ee75,5,0,5
d7328ab2-f021-4201-8335-e09ff9a456e4,5,4,1
0406d696-8f25-4c65-960f-c5cc8d755d20,5,3,2
15595516-73b3-4162-98b4-b9922a683032,4,0,4
e0b9d4ea-5061-4cad-876e-66ced5571aa0,1,4,-3
f574d20f-a057-4595-8ee3-718a9b840920,8,1,7
87e4ae7d-e93f-4f4d-8125-1d42788d0870,6,2,4
229dcfc7-e11d-4108-b881-b2b217b8958c,9,2,7
c27c04c1-de81-4a77-ae15-76d28e78031d,3,2,1
00198702-8f77-4934-8e1b-658d74885f24,3,1,2
da50a9fd-8b85-4610-b1af-494c0ee310f2,5,1,4
318e4968-4a9a-48fc-9468-bc2bb47ec3fb,9,3,6
8c59736b-11d0-42bb-b3f4-3a0bb3a6f5de,3,0,3
59cf1253-df78-4928-bf9f-545a64c774e6,2,1,1
f5f5ce8d-721c-4b63-88f1-84c3eb3f11db,8,1,7
3e977acf-4453-4e87-af84-038a4fe78a8f,8,4,4
ebc9c585-f3b8-4061-9d6b-dd0432ab9c8a,9,0,9
bdaa5210-328a-42d2-ae71-0521010545ba,1,2,-1
224fc5fa-4e11-425c-ae71-b9937d87e371,6,0,6
17e8837b-8706-4b81-9a23-605bebfad03b,1,4,-3
e3a4e286-1525-4adb-a2d4-a43ae8150b49,3,1,2
bf213833-2200-4340-b37e-66924066d8fa,1,3,-2
28b71672-c00d-4295-9885-c88cf3c26cc8,3,1,2
b17a44ff-21a6-4aa5-80b9-085c3060f0df,9,3,6
547e79a8-34a6-48cb-b607-37ee2e07ff2e,9,1,8
231c6602-113a-4ced-9a0c-a1da35b4216f,2,4,-2
f151d91f-a79c-40ab-9449-b4103ea7cbde,3,3,0
90bfd372-ae6c-4413-85f8-18cb7bac7bc9,3,0,3
6d8045f3-a430-4a64-b13c-1347badf584d,2,0,2
cedb2532-b029-4507-99b4-7abb8bfc0fbe,5,0,5
8a74ae64-b2fa-4901-b3b9-2b18e34c7d97,7,3,4
1b89a1c0-17c8-456a-8868-f4de4e32bc88,2,2,0
d9f30dad-4137-4308-bbaa-9613bea65bc6,1,3,-2
016d6393-d516-46c3-839e-ad92476e78be,3,4,-1
f64d4fcb-52bd-47d5-9604-7ca32ea1c47e,4,1,3
cffd44f3-a441-4004-8626-93ecff2c2e07,7,4,3
50377e2e-95ac-42b7-91a6-c4cc1c4362d4,2,1,1
31de49ad-5dbe-4c51-b1d9-85eb98b78cef,5,3,2
3d8799e1-3c20-4112-9d10-3fa6a018bba8,1,0,1
8625684d-291b-4001-8e58-f8bf01269d78,4,3,1
7a55df56-753f-4697-96be-56d563dd9250,7,0,7
c3d5c4e6-06fd-4934-b5a1-7c95f35d66b0,1,4,-3
8578f762-7bed-4b21-aea5-e6d41477b5e4,9,4,5
badc483b-a18d-43e4-a2ac-df3d60525618,2,2,0
93a6c0d8-d41f-4e16-9873-d8f89ac35983,2,1,1
4f679427-5f75-4de5-ba23-465c42b24ec5,1,2,-1
0f2537f1-7598-4fe4-93b2-52f093651cdc,4,2,2
715f9b69-de5d-4665-801d-dcb505bf19bd,8,3,5
8e9f9fbb-3da9-4130-9947-5ea0f036c577,1,4,-3
279ae658-3b58-4c99-8527-e238ba67683e,4,0,4
c0168a62-d61e-4baa-8221-6aa84f76eecb,2,2,0
a07cd7ea-c4e5-41b2-a03f-45060d26a6aa,2,1,1
07a42d12-9285-4f16-b4cf-4241e85ee3ce,7,4,3
d4fd77e8-bdae-4564-8a2b-f0a7a9158a08,4,0,4
ca805f94-3c1d-4c6f-81af-8b7b308e12c3,7,4,3
4d4680d2-7548-42fb-89f4-258759c1b650,7,4,3
8e2d5a62-e66f-4468-8c03-5ef392adce31,3,1,2
5928d9a8-8821-4b94-bb7c-15c5039f5269,6,0,6
c58d859e-d611-45e9-91e1-7b38911bc762,8,1,7
05b9f72f-2141-441e-9d3c-0236c70ab862,4,2,2
e957edf3-6b61-457c-8344-1bec38fcb5c5,6,0,6
494ea45e-a4d4-4db1-b068-ccbc40269bdf,3,3,0
88d7669b-3386-463e-86db-c9291ae2bad3,1,3,-2
fa330774-64cb-47cb-b0c8-25cec7ecca3c,1,1,0
6193a67d-d540-4bed-9aa7-394505ab62f5,5,0,5
6dca14cc-56fe-49e9-a0fd-8acc71c5ce85,6,0,6
fac6d543-996a-494f-86f1-04abf5ab6189,5,4,1
7904a7c8-699c-4457-a29d-f887d868129f,7,4,3
9ed828fb-4796-48af-ab47-5fa6e125b0dc,3,3,0
574acf3f-8801-437d-98d2-4a2911aba06d,9,4,5
f771a020-d767-479a-9724-ed8afd3c5735,9,1,8
157dd5e3-fba0-4af3-88fd-7beba9f3fec0,9,2,7
57f5887a-af1a-4cc3-9855-ee5369faa0f5,7,4,3
aad6e858-d090-4601-8b23-39f5279d1321,9,2,7
8d966e18-7fdb-4296-b997-c8ad00569ad6,6,3,3
b1c6194a-d4a0-48e2-b4e2-be87dfc6089e,9,2,7
4520887e-c28c-42da-9429-bf7b4bb232ea,6,2,4
b3d25ce7-5b4d-4854-91bc-8a4f114137d0,6,2,4
5b279456-b5c9-4ae6-ae1d-030ebdf026e7,7,0,7
df134500-1104-4c5b-9978-2d07aa341491,4,2,2
df9326e6-fc70-488a-9037-4056054449a9,7,0,7
856a43f3-b117-4f66-8058-9439daf5593a,3,0,3
66f224ca-7eaa-4d32-a43f-f3c6f1a71f7a,3,2,1
7b2068a0-8c80-4168-a89c-cca67ce373b9,3,4,-1
f22495b6-0998-4617-9b8e-3135bae267c1,4,1,3
e483b433-ebeb-46f8-b310-67ce6b266c84,8,1,7
f6da1460-13b4-482f-8af8-dcc25ee1101b,3,1,2
d4782297-a64f-42ea-8861-fc13b247e925,1,3,-2
f3e87535-b259-4a14-8c1f-f3facfddf7df,9,3,6
cbdd164e-2223-480f-ac80-c917c8e77787,1,2,-1
b21a1ed0-1641-49ed-93e7-c61c3217b113,5,0,5
49fd5d92-7a2f-4453-89d9-016511b54e5e,1,4,-3
9e075197-ed56-4806-b855-0c74da0614f9,5,2,3
de4253e1-9326-4584-bb2f-c94187486d02,1,3,-2
81fda521-0c6b-4615-81b9-dff9c4b06004,7,1,6
22cddff1-b65e-46b0-9431-3318f7793a7e,7,4,3
c8ffbf03-525a-47fb-83a8-8c613c69d86e,8,1,7
67ad82da-f10b-4fa7-98a0-024637336ce1,6,3,3
ff62d2fa-dae7-49c0-ac31-1b9536e24162,4,4,0
a5081775-ad5c-4c4f-bbc6-4f493846c1d7,2,3,-1
2507baa3-b53a-4cc5-a403-9ffe2db637f6,2,2,0
d5cd4e3f-76c5-4d4a-b9bb-750382362f97,2,1,1
af476fc7-479a-4d6d-b8cc-8e64632ab659,3,3,0
20be1f43-d4ca-453d-8624-5318528be6f7,3,1,2
ae82e3c9-63de-4eac-ac3e-265f87681f4b,2,1,1
dc5db519-ee2a-4545-930a-00acc4930c79,4,0,4
504d3df6-c6cc-4895-a1cd-b812e1de8d75,3,2,1
3e60c6a4-a89d-4f72-ab3b-0622e6862fa5,6,1,5
ab5ae9d0-2468-4c40-be76-169c11800eec,7,0,7
56d5ac43-39b4-4ec5-b327-54c646e6359e,8,2,6
624c145d-23ae-4e42-80f4-bf612b7b1274,4,3,1
c62a0b1f-e1db-40d1-aa50-d1d14cd8b400,5,0,5
000159d4-c926-4bc1-8a30-a0b5c2e4b3fb,9,1,8
e0e8f6fa-18f2-4d5f-b84a-64125d23c961,2,2,0
9c9cc863-b0a0-4e0f-a48f-56aef9f2691f,1,2,-1
6ae6eb7c-7baf-4164-8057-4f0d732b1bb0,6,1,5
8bc88f5d-3153-4e68-8976-2e06e73dd3fe,5,1,4
f427cef8-f444-4600-8618-d08f0b71a89c,7,3,4
baaf359b-a5e4-4211-b766-7111561fa5cc,4,1,3
82430e2a-d130-4b26-9be2-6167f2497e09,1,4,-3
8f11a9b5-bad9-4f99-a932-9c6bce203651,5,4,1
c6e0e463-d9d6-4d29-a52d-666aa16521be,1,1,0
7f16f8f2-fa07-4ff0-bf3a-81f93552ae50,4,3,1
46ce6fe6-b15a-4ba2-a5aa-4e5bf388c1f9,4,3,1
8034f2ef-8b79-47cc-ab8a-8bed1e3ca3a9,7,0,7
eb5f6907-962c-469f-bb16-68b919faae00,2,2,0
9c3cf9c9-8cab-43e2-b181-4134a0aeaae0,6,2,4
73fe08c9-3112-4cc4-85dd-21c2ff3eac64,4,3,1
a022756c-87cc-4839-af0f-06dea7fe65d4,2,2,0
96f1443e-284b-44eb-8158-79fefcee50e9,3,1,2
e289c7a7-be44-423a-8d01-7940c87aa103,2,0,2
82442d23-bf4a-4b7f-ae5d-5c73c3b94f28,8,3,5
62713df2-0d79-4bfc-9add-c33b06195c21,1,0,1
4fbd0bb0-d8d7-4a62-a23b-2b4b5eeb6f8a,8,2,6
011cb018-ff42-40c8-82bb-dd47ef0f6d4f,3,1,2
d096115d-c162-4c2c-b1ca-dff1f9187860,7,4,3
e8b59fab-7973-4dd5-9a5b-a0c5820c6a9f,1,2,-1
2f5cf6d0-153c-49e5-88a7-328570e7d7b2,2,1,1
90ae3954-dcb0-4dc4-b267-e276bb21b2df,7,4,3
0483361e-aba9-4c2d-abfe-499f9df9628a,3,2,1
0787cf29-6a26-4c86-b7aa-568603718357,8,0,8
f80e8828-dccf-4983-9b6a-5e449ed29b03,6,2,4
2b76bc2a-9197-46d2-88ea-458e39951ff6,7,2,5
fda027d6-35f4-4203-ab4c-fe44ab5b4ad3,7,1,6
e13536a6-2205-485d-8f05-37fc134ff893,5,2,3
79fb1dd8-3706-414a-a8a1-9c96656f187e,4,3,1
111f0a64-e9c5-40b2-b0f6-75e2054710a7,8,3,5
8a536c7c-4a0b-4946-a2a5-90c245770ead,2,0,2
5a5e2ee2-ae01-48ed-82cf-787044969c39,4,0,4
0d459938-0727-461f-b699-dd0b55afb632,2,2,0
6f498d2a-c071-4587-8e36-ced5335a328d,4,1,3
e70914a7-bbb7-481b-a425-2bd3931fac1f,2,2,0
5e5d531a-503c-4c72-8875-84c8a555c2a0,7,0,7
1fbdadbb-2fc3-41c7-943c-699ff480182a,2,3,-1
dff8aefe-f4e6-43be-adb8-3d7684d1a0f9,1,1,0
c14e8c8d-2f6d-4a70-bb70-87580a861e6c,3,0,3
6211dc17-3284-4194-ab75-b4ceae6f3d0c,6,1,5
e4136573-278e-4ae1-a875-904164414987,2,3,-1
a0c2005b-556d-4af5-8210-8f82d51ccd2b,2,0,2
7452f24f-7cd2-498d-9928-ac9d47191ed8,9,1,8
543b299d-59c9-4b1f-989e-882cc131e34f,5,3,2
386f6215-dca2-4759-a43e-98be81056584,8,1,7
6aae6846-de3d-4e40-a5fd-66cabe557a95,6,2,4
d846102b-cf9c-4b75-8e28-9b3443eb9131,8,2,6
6bdad54f-e658-4b69-bf06-459293ff683d,2,4,-2
c0c04956-ad55-4d70-9ace-026f4e397e64,8,1,7
