rpp_user_id,num_ofertas_historicas,num_ofertas_aceptadas,num_ofertas_no_aceptadas
14f69032-282f-4d2d-a81f-c2d2d378285c,3,1,2
e7e438f4-9c5d-44f9-9822-3255985145db,2,4,-2
9939954f-b770-4494-962b-e1fdbd8b65a4,8,4,4
e9e160a7-512f-4e2e-bcc7-d55d6d625800,8,3,5
43640cf2-619f-4797-bd20-5ce3efe569bc,3,4,-1
11d1b0d2-1a3a-495c-a596-164e031db546,5,1,4
92d2a477-60e2-4eb5-bf6e-c124f3188283,9,0,9
fcbfe547-bd23-4c31-b527-9a661516605d,7,0,7
db31638b-a82a-41d6-9ce9-832f3530a4a2,7,4,3
5b2cc1f7-22f3-410f-8fee-e0b7aea2aba5,7,4,3
54afe055-fa59-4bf2-a4d8-a8608f7900f9,6,4,2
1c04e3da-0b42-4ee6-8f68-fab6813eb22a,1,3,-2
6921ff81-aee8-4a62-935c-4fe5ef127913,7,1,6
ec6b7cd9-8166-4caa-9c82-d99499b85b66,2,3,-1
2f09df3f-2b00-4990-8a20-474233ffa998,8,1,7
c34e2f24-b50d-4fd2-9089-753994d3ddae,5,0,5
b44b146b-005d-49eb-91d0-37d76c4b9b74,6,4,2
c9624f22-4c0e-4419-88cf-599b331a0dad,2,4,-2
733602ea-3e10-4a88-b8a0-72b822b8ce9e,4,4,0
bca7bc0e-a984-44c2-9b7a-08ea74b42866,6,3,3
6976654f-f5e6-4b16-9a23-eaa5d64ba12a,2,1,1
d524f8b4-9c6a-4e51-bccc-adbbbe823786,8,3,5
da2123e6-da74-470a-8750-c602e1d7e9c9,5,1,4
3dca6eb3-0c8e-4b5b-9728-8bdba4b533fc,5,1,4
bf0635a8-6899-4d4a-b415-803bc9eb184b,2,0,2
978d3a31-eb00-4151-b8ef-f88950a3f299,2,3,-1
b81b7417-83b4-479d-bdea-02a3b056a5db,7,0,7
8146cb49-14a8-4166-8d4d-4e71adb71d1f,3,0,3
8968dac9-5b43-43d4-b9ee-5c2650ac718a,3,1,2
965005ad-97a2-489e-a255-e9b2a91c2303,6,2,4
72ca6a74-880c-4ae0-b939-4e3f0b601118,8,1,7
295c6dc9-c4d0-43f1-9979-5d32283b471a,1,0,1
09497b09-4ca8-405a-ab36-a488eb9e0883,3,0,3
4aae1a76-443b-4ac3-b2e7-28779be0fc44,6,4,2
a0755654-907a-49d6-8c98-768a7f10f749,9,0,9
6e85f223-fd18-4f6a-a0ce-91973fed753e,3,0,3
7350b8b5-0009-4161-a446-0a56f7419f86,7,1,6
f5967a3b-a194-48c6-bbe5-f4863322bdf6,9,1,8
8b3253d6-8728-410a-aa88-6dc1c5424fc8,3,1,2
99ddc786-3379-476a-8b9f-defe29617f97,6,1,5
f2014d8d-a937-4bc4-928c-0083670d8468,8,2,6
ba8e47f8-5fe0-4f84-9ea7-b68b3719ca6c,8,4,4
9c19c6ba-e6d5-451e-a66a-c24696162c09,3,4,-1
e35b8567-9967-43ad-8dbc-70743d2a86b8,8,1,7
86f7f5de-8053-4870-80c3-c169e427f75c,7,0,7
046b8c1c-b662-4b91-815f-6727c2ecd58d,9,4,5
36f23544-90f8-4cf0-8668-370d4757ae91,1,0,1
5d2c860b-cabf-4d42-964d-6be3e52e4b81,2,2,0
a4fe4ec3-df04-455b-bc36-2e533a91df42,4,3,1
bc2c5156-3ea9-4083-9d39-ec06d382122a,1,3,-2
82331e14-a024-4d8c-a549-9a0a448b69d5,4,4,0
b7066b43-fe82-4c4c-a012-d29ef32b10ab,4,1,3
81c6fb3c-c559-44a9-b856-9512a28d1c5e,8,3,5
3843df08-edc7-4f10-9e5f-ed8d0deafdcb,3,4,-1
f5ad39a4-dd57-49fa-abc0-89dfad3b1ac9,4,1,3
12bb0ec7-ffe8-49de-b5e6-9d204d909b09,2,3,-1
92bf3482-21b1-48f5-8bdf-6808735194b8,8,1,7
b1d12706-2ff4-4705-a8cf-c7ccc7183da9,3,1,2
f6603d01-ce65-4126-86e0-76e93b7074ea,2,0,2
da575d48-6aeb-433e-a5fd-9654cb16aaf3,9,0,9
e55ba0f4-2353-4b78-b3e5-0151d6d0b0d5,9,4,5
c07233f5-0e73-46d0-86bf-51ac7d1ca24f,3,2,1
def03869-7140-4e8e-a1d7-934641fd0bb3,5,1,4
9cc98e51-c20e-4e13-b9ab-d48d18dd477e,8,1,7
f56feae3-2398-45c0-945f-7cdb96bb8b36,9,0,9
753eddf0-2f8b-4fd9-9127-244379642b18,5,2,3
ae49dc20-121b-408d-bc4b-66ec618d7709,5,2,3
cc910d80-91fe-4166-be4e-a0a0d01fb6fe,9,3,6
8dafba3d-02af-4cf2-8fc3-bd51b3df75a4,7,4,3
63ee9087-18b0-4ae9-8a07-d7f8ba5cec33,6,0,6
08b3291e-8924-4ee9-ba54-1f6928ed2371,1,0,1
da5f8f77-fe36-4acd-84bb-b2007494fe7e,8,2,6
84e81803-eb8b-440b-ace8-8a675fb387c8,6,4,2
6782b1c1-88d1-4e31-875d-3e3842f1bfc2,8,3,5
cea25387-09bc-44fe-b48c-7867b1e9f8ef,5,0,5
923db293-e1e1-4459-a2ee-604699f33f63,8,4,4
9f5f796c-4f88-4dd1-b78f-e824c60097a3,4,1,3
a3c26125-2f73-4418-bbec-a5e504dd765f,1,1,0
9ae6fe60-22bf-4337-92ac-49948af050bd,4,2,2
a7544e76-1f98-429d-85a4-f852dba0b1c0,1,1,0
2e5a267a-c295-4ed7-8eef-9cff08c41df9,8,2,6
1db2cd22-e6f0-45d3-aab5-cff7cdf44167,1,1,0
42347b39-807a-475c-964e-960a171ba99d,3,1,2
2b14d607-1f5c-4e57-a2e9-b9132639d8ba,1,0,1
568a0291-f3e0-42d2-8c44-12178d6ffe65,7,1,6
c0776bb1-2f9d-4354-8e90-613124742deb,8,1,7
df2a83a1-1a42-4928-8fa1-2d7c040e448f,7,0,7
81f6d0cb-e492-47a5-8b3a-2022f5fd2ff6,3,0,3
922d876d-de75-4d6e-987e-dc7d3b850061,5,4,1
bb4e6db5-11a6-4ad9-9647-6cfaa29bf912,1,3,-2
72c5bf2d-45d4-47c0-a101-d6d2f63c9d81,1,4,-3
f291556d-0123-44c9-9895-052f72710f0e,1,3,-2
7c19befa-cfe8-458b-897a-45e2a23fd000,3,4,-1
282bb21c-625f-4014-bc3a-4b848f6a4d9f,3,1,2
53f2419a-6653-4e13-9f6b-6e42eb088961,6,3,3
07626d1e-3c2e-4282-8a17-9748ea84d53c,1,1,0
8ccc514b-5c93-410f-92e4-e9207ef5db16,9,3,6
1b604c69-c105-4458-b02f-5b4735fe36b7,9,2,7
7df315da-2ea8-4075-bf5e-6b85fc283d40,6,0,6
02a083b9-6837-46b9-aecd-85a19f0a8614,6,4,2
4fd17842-c222-495e-9555-46207ba09c1a,7,2,5
f3835411-fa6a-4a53-b299-9ef168848c03,8,0,8
f6978fd8-cd36-43d8-af9a-1def9e1d457a,8,2,6
8c8392da-5828-4e5d-8999-73faf79556ec,5,1,4
390970b1-ee87-4a1d-b4ff-fc83b4fbe570,5,2,3
590bede9-e3c3-40cb-b865-5c64c70488cd,8,1,7
ed8d741d-c750-4fc4-b9a1-ed65c99308a2,6,3,3
6ed13fdd-b219-40d3-9a4e-1ae17f9b9590,7,3,4
2fea2a81-9aff-4be9-a23b-974eab0eb55a,2,4,-2
ae652f85-5ae6-4b8d-b57c-b65b23f90bb2,2,0,2
815e4d71-5d54-496d-a1b2-be3c3d5aff2a,8,2,6
0bacefd5-59b6-4fd7-8228-01e6e6b210ae,6,1,5
393f58b5-fc6e-4b7a-a7e0-0c73342d69db,7,1,6
4004a1bb-918f-45e0-8d12-e0c63769e7d4,6,4,2
20f1d8df-42a1-4a4f-953d-cd47f44f277f,3,0,3
bdfdeebe-4f00-407c-afdc-70b88117beb3,5,0,5
9cf87f37-4b3b-4ec9-a84f-0b8a141eae8a,7,1,6
c84aef9c-c8cb-4cae-ba5e-5cd99a7dca1c,1,1,0
3b0bccbe-5c09-4328-a8c6-856a02b8c0ab,2,0,2
75cdb56e-d122-4960-a325-35376044a3b9,2,3,-1
742bc16a-5b1c-4bc6-94f8-9d515cd3031e,1,1,0
d2b3dbe3-8bc5-437e-a1ff-225056231cef,2,3,-1
e58aa06e-f184-415c-9997-e9a8b9535a13,9,4,5
024a9f37-1a57-46ec-af12-445d1c24c3c0,8,1,7
2b29c6cc-6486-43f2-9d37-1479be1f326c,2,0,2
302d0b8d-e598-48dc-8dba-d1ea92867c55,1,4,-3
30c0cfb3-c264-43ca-9395-1c2e6017a422,7,0,7
df1a7c85-7555-4e1a-9428-51ce7e4eea43,8,2,6
216d3da5-1890-437c-9a15-2ac212cd8450,4,0,4
121fdf63-bf43-42ff-990c-415fc8358234,1,3,-2
b6a10ed0-7365-4613-b59e-369eeee5a55e,8,3,5
ee88ef4e-d6d4-4302-9bfd-55ab8d7f3fab,8,2,6
407e73c7-02e5-4b48-9e75-6b10189811db,4,3,1
e2150107-d20d-4632-a155-e3b03e969e89,4,0,4
f3dff8b1-c9c2-4472-9748-a1e22e16ac76,5,4,1
4eff6280-40f7-43ad-8848-7483d4a68cc1,3,2,1
eacee77d-f804-4e94-ba0b-a82f931a8aa8,9,1,8
aed227e6-bb63-43b7-95fb-32cbace92bd3,6,3,3
9e29cd0d-117d-43a8-ad43-acdc75aa251c,2,2,0
25e147c3-050b-482d-88ad-22577d47cfcd,1,2,-1
ccfb7402-b604-4c0a-8484-8a34b0e7f3bd,3,3,0
26c2f725-2796-4112-8c0b-b11b90e8a524,8,0,8
40a3f2fe-2207-4402-abe4-28911104b6c5,5,3,2
b1efe0d7-515b-40fb-a44f-dbc528c21a52,2,3,-1
db2b7c69-fd34-4e42-8a55-28849e68d619,1,2,-1
70f2547e-0c9f-4231-904b-8e54b439ff59,7,0,7
0b792654-4c4d-4c3b-9cc7-d2e56a1474c6,6,2,4
9424b3bd-82e4-4aeb-8f31-8052337a0727,6,4,2
73e5b39a-4543-4900-b295-524d6a91caa5,4,3,1
ab751f46-ed8c-47ed-858f-20763a4e6e3e,7,2,5
f875278a-211e-47e7-94e8-c7427b93d460,5,0,5
3094d368-adda-4282-8c16-195963a6e932,9,1,8
3e9aff3f-d4f5-4489-bed8-618fece9fcfc,1,0,1
be9c581e-18f8-4b45-89a1-27e03a79014c,3,3,0
d68c8d34-883f-4ea5-9a92-37814fd5857e,2,2,0
bc30ce82-d7b1-4b1e-8b22-abf8cf8e1450,3,1,2
f0a248e9-7603-4ea6-a8fa-11e0741158dd,2,1,1
72358cfc-f78b-4fb3-bb5e-4ebb1f96478c,9,0,9
e6031dcc-2abc-4d3a-aa92-41de4c568c95,4,0,4
c3166564-d74f-497f-a82b-ce9e0f3df888,7,2,5
811d4cc0-fff1-4cf0-b4d6-1f2607a0b53d,2,0,2
56f722d8-7087-4809-a67a-bff11122dedc,6,4,2
1083e9f1-cb4a-4437-8cca-3d0b641ed1b7,6,2,4
65a897db-b78f-45ac-a8ce-ae41a54bdaf4,4,3,1
2b751192-2a66-4bd7-b73e-d4eacc753481,7,2,5
c2bf08c7-54a5-45ee-a1b7-1202e2237813,7,4,3
f74c1476-7f6e-441b-8778-283db8f2e649,9,4,5
63e04e15-734b-4a3b-81bc-4da04ebb1439,3,0,3
52a392d2-6b01-40a8-acf2-6259af570898,5,1,4
94910272-19d0-4558-8813-74df9a67709d,3,2,1
